site,month,date,time,chamber,side,spp,number
Duke,May,5/12/2010,8,1,a,crli,1
Duke,May,5/12/2010,8,1,b,apla,1
Duke,May,5/12/2010,8,1,b,crli,5
Duke,May,5/12/2010,8,2,a,apru,1
Duke,May,5/12/2010,8,2,b,none,0
Duke,May,5/12/2010,8,3,a,crli,15
Duke,May,5/12/2010,8,3,b,apru,2
Duke,May,5/12/2010,8,3,b,crli,6
Duke,May,5/12/2010,8,4,a,none,0
Duke,May,5/12/2010,8,4,b,none,0
Duke,May,5/12/2010,8,5,a,crli,5
Duke,May,5/12/2010,8,5,b,apru,1
Duke,May,5/12/2010,8,6,a,crli,1
Duke,May,5/12/2010,8,6,a,prim,11
Duke,May,5/12/2010,8,6,b,crli,1
Duke,May,5/12/2010,8,6,b,prim,4
Duke,May,5/12/2010,8,7,a,apru,1
Duke,May,5/12/2010,8,7,b,apla,4
Duke,May,5/12/2010,8,8,a,crli,11
Duke,May,5/12/2010,8,8,b,crli,1
Duke,May,5/12/2010,8,9,a,crli,1
Duke,May,5/12/2010,8,9,a,tecu,1
Duke,May,5/12/2010,8,9,b,crli,4
Duke,May,5/12/2010,8,10,a,caam,1
Duke,May,5/12/2010,8,10,a,fosu,1
Duke,May,5/12/2010,8,10,b,none,0
Duke,May,5/12/2010,8,11,a,none,0
Duke,May,5/12/2010,8,11,b,none,0
Duke,May,5/12/2010,8,12,a,crli,3
Duke,May,5/12/2010,8,12,a,prim,1
Duke,May,5/12/2010,8,12,b,none,
Duke,May,5/12/2010,8,13,a,apru,1
Duke,May,5/12/2010,8,13,b,prim,6
Duke,May,5/12/2010,8,14,a,none,0
Duke,May,5/12/2010,8,14,b,none,0
Duke,May,5/12/2010,8,15,a,none,
Duke,May,5/12/2010,8,15,b,crli,1
Duke,May,5/12/2010,9,1,a,crli,4
Duke,May,5/12/2010,9,1,b,crli,7
Duke,May,5/12/2010,9,2,a,apru,1
Duke,May,5/12/2010,9,2,b,crli,10
Duke,May,5/12/2010,9,2,b,fosu,1
Duke,May,5/12/2010,9,3,a,crli,5
Duke,May,5/12/2010,9,3,b,apru,4
Duke,May,5/12/2010,9,3,b,crli,1
Duke,May,5/12/2010,9,4,a,apru,1
Duke,May,5/12/2010,9,4,a,crli,13
Duke,May,5/12/2010,9,4,b,none,0
Duke,May,5/12/2010,9,5,a,crli,65
Duke,May,5/12/2010,9,5,b,prim,10
Duke,May,5/12/2010,9,6,a,prim,55
Duke,May,5/12/2010,9,6,b,fosu,5
Duke,May,5/12/2010,9,6,b,prim,1
Duke,May,5/12/2010,9,7,a,crli,13
Duke,May,5/12/2010,9,8,a,crli,60
Duke,May,5/12/2010,9,8,b,fosu,1
Duke,May,5/12/2010,9,9,a,crli,6
Duke,May,5/12/2010,9,9,b,crli,1
Duke,May,5/12/2010,9,10,a,fosu,9
Duke,May,5/12/2010,9,10,b,apru,1
Duke,May,5/12/2010,9,10,b,crli,5
Duke,May,5/12/2010,9,10,b,fopa,2
Duke,May,5/12/2010,9,11,a,fosu,
Duke,May,5/12/2010,9,11,b,prim,1
Duke,May,5/12/2010,9,12,a,apru,1
Duke,May,5/12/2010,9,12,a,crli,4
Duke,May,5/12/2010,9,12,a,fosu,1
Duke,May,5/12/2010,9,12,b,prim,43
Duke,May,5/12/2010,9,13,a,crli,9
Duke,May,5/12/2010,9,13,b,prim,5
Duke,May,5/12/2010,9,14,a,none,0
Duke,May,5/12/2010,9,14,b,none,0
Duke,May,5/12/2010,9,15,a,none,0
Duke,May,5/12/2010,9,15,b,none,0
Duke,May,5/12/2010,10,1,a,crli,3
Duke,May,5/12/2010,10,1,a,fosu,1
Duke,May,5/12/2010,10,1,b,crli,2
Duke,May,5/12/2010,10,2,a,apru,2
Duke,May,5/12/2010,10,2,a,crli,6
Duke,May,5/12/2010,10,2,b,apla,1
Duke,May,5/12/2010,10,2,b,fosu,1
Duke,May,5/12/2010,10,2,b,prim,30
Duke,May,5/12/2010,10,3,a,fopa,1
Duke,May,5/12/2010,10,3,b,none,0
Duke,May,5/12/2010,10,4,a,crli,1
Duke,May,5/12/2010,10,4,b,none,0
Duke,May,5/12/2010,10,5,a,crli,58
Duke,May,5/12/2010,10,5,b,prim,67
Duke,May,5/12/2010,10,6,a,prim,3
Duke,May,5/12/2010,10,6,b,fosu,1
Duke,May,5/12/2010,10,7,a,apru,1
Duke,May,5/12/2010,10,7,a,crli,1
Duke,May,5/12/2010,10,7,a,fosu,1
Duke,May,5/12/2010,10,7,b,apla,2
Duke,May,5/12/2010,10,8,a,crli,66
Duke,May,5/12/2010,10,8,b,apru,1
Duke,May,5/12/2010,10,8,b,cape,1
Duke,May,5/12/2010,10,9,a,crli,23
Duke,May,5/12/2010,10,9,b,crli,1
Duke,May,5/12/2010,10,10,a,cape,5
Duke,May,5/12/2010,10,10,a,fosu,2
Duke,May,5/12/2010,10,10,b,none,0
Duke,May,5/12/2010,10,11,a,none,0
Duke,May,5/12/2010,10,11,b,none,0
Duke,May,5/12/2010,10,12,a,fosu,1
Duke,May,5/12/2010,10,12,a,tecu,1
Duke,May,5/12/2010,10,12,b,fosu,1
Duke,May,5/12/2010,10,12,b,prim,30
Duke,May,5/12/2010,10,13,a,none,0
Duke,May,5/12/2010,10,13,b,prim,1
Duke,May,5/12/2010,10,14,a,none,0
Duke,May,5/12/2010,10,14,b,none,0
Duke,May,5/12/2010,10,15,a,none,0
Duke,May,5/12/2010,10,15,b,none,0
Duke,May,5/12/2010,11,1,a,apru,1
Duke,May,5/12/2010,11,1,a,crli,1
Duke,May,5/12/2010,11,1,a,fosu,1
Duke,May,5/12/2010,11,1,b,crli,4
Duke,May,5/12/2010,11,2,a,crli,1
Duke,May,5/12/2010,11,2,b,crli,1
Duke,May,5/12/2010,11,2,b,fosu,1
Duke,May,5/12/2010,11,2,b,prim,33
Duke,May,5/12/2010,11,3,a,fosu,1
Duke,May,5/12/2010,11,3,b,none,0
Duke,May,5/12/2010,11,4,a,apru,1
Duke,May,5/12/2010,11,4,a,crli,5
Duke,May,5/12/2010,11,4,b,apru,1
Duke,May,5/12/2010,11,4,b,crli,1
Duke,May,5/12/2010,11,5,a,crli,58
Duke,May,5/12/2010,11,5,b,prim,40
Duke,May,5/12/2010,11,6,a,prim,4
Duke,May,5/12/2010,11,6,b,fosu,5
Duke,May,5/12/2010,11,7,a,apru,1
Duke,May,5/12/2010,11,7,b,crli,28
Duke,May,5/12/2010,11,8,a,crli,50
Duke,May,5/12/2010,11,8,b,none,
Duke,May,5/12/2010,11,9,a,crli,9
Duke,May,5/12/2010,11,9,a,fosu,1
Duke,May,5/12/2010,11,9,b,none,0
Duke,May,5/12/2010,11,10,a,cape,12
Duke,May,5/12/2010,11,10,b,fopa,1
Duke,May,5/12/2010,11,11,a,none,
Duke,May,5/12/2010,11,11,b,none,
Duke,May,5/12/2010,11,12,a,crli,1
Duke,May,5/12/2010,11,12,a,fosu,1
Duke,May,5/12/2010,11,12,b,prim,35
Duke,May,5/12/2010,11,13,a,none,0
Duke,May,5/12/2010,11,13,b,none,0
Duke,May,5/12/2010,11,14,a,none,0
Duke,May,5/12/2010,11,14,b,none,0
Duke,May,5/12/2010,11,15,a,none,0
Duke,May,5/12/2010,11,15,b,none,0
Duke,May,5/12/2010,12,1,a,crli,2
Duke,May,5/12/2010,12,1,b,crli,3
Duke,May,5/12/2010,12,2,a,apru,2
Duke,May,5/12/2010,12,2,a,crli,1
Duke,May,5/12/2010,12,2,a,prim,2
Duke,May,5/12/2010,12,2,b,fosu,1
Duke,May,5/12/2010,12,2,b,prim,10
Duke,May,5/12/2010,12,3,a,crli,4
Duke,May,5/12/2010,12,3,b,apru,2
Duke,May,5/12/2010,12,4,a,crli,9
Duke,May,5/12/2010,12,4,b,apru,1
Duke,May,5/12/2010,12,4,b,crli,4
Duke,May,5/12/2010,12,5,a,crli,63
Duke,May,5/12/2010,12,5,b,prim,34
Duke,May,5/12/2010,12,6,a,crli,1
Duke,May,5/12/2010,12,6,a,prim,3
Duke,May,5/12/2010,12,6,b,cape,6
Duke,May,5/12/2010,12,7,a,apru,2
Duke,May,5/12/2010,12,7,a,fosu,1
Duke,May,5/12/2010,12,7,b,crli,100
Duke,May,5/12/2010,12,8,a,crli,46
Duke,May,5/12/2010,12,8,b,apru,1
Duke,May,5/12/2010,12,9,a,crli,12
Duke,May,5/12/2010,12,9,b,crli,2
Duke,May,5/12/2010,12,9,b,fosu,1
Duke,May,5/12/2010,12,10,a,cape,6
Duke,May,5/12/2010,12,10,b,cape,1
Duke,May,5/12/2010,12,10,b,crli,1
Duke,May,5/12/2010,12,11,a,cape,1
Duke,May,5/12/2010,12,11,b,none,0
Duke,May,5/12/2010,12,12,a,fosu,4
Duke,May,5/12/2010,12,12,b,fosu,1
Duke,May,5/12/2010,12,12,b,prim ,45
Duke,May,5/12/2010,12,13,a,apru,1
Duke,May,5/12/2010,12,13,a,prim,1
Duke,May,5/12/2010,12,13,b,none,0
Duke,May,5/12/2010,12,14,a,none,0
Duke,May,5/12/2010,12,14,b,none,0
Duke,May,5/12/2010,12,15,a,none,0
Duke,May,5/12/2010,12,15,b,none,0
Duke,May,5/12/2010,13,1,a,crli,5
Duke,May,5/12/2010,13,1,a,fosu,2
Duke,May,5/12/2010,13,1,a,prim,1
Duke,May,5/12/2010,13,1,b,crli,8
Duke,May,5/12/2010,13,2,a,prim,29
Duke,May,5/12/2010,13,2,b,fosu,7
Duke,May,5/12/2010,13,3,a,crli,1
Duke,May,5/12/2010,13,3,a,fosu,6
Duke,May,5/12/2010,13,3,b,crli,11
Duke,May,5/12/2010,13,4,a,apla,1
Duke,May,5/12/2010,13,4,a,crli,13
Duke,May,5/12/2010,13,4,a,fosu,1
Duke,May,5/12/2010,13,4,b,crli,3
Duke,May,5/12/2010,13,5,a,crli,38
Duke,May,5/12/2010,13,5,b,prim,30
Duke,May,5/12/2010,13,6,a,prim,10
Duke,May,5/12/2010,13,6,b,cape,7
Duke,May,5/12/2010,13,7,a,apru,1
Duke,May,5/12/2010,13,7,a,crli,5
Duke,May,5/12/2010,13,7,b,crli,150
Duke,May,5/12/2010,13,8,a,crli,50
Duke,May,5/12/2010,13,8,b,cape,2
Duke,May,5/12/2010,13,9,a,crli,10
Duke,May,5/12/2010,13,9,a,fosu,1
Duke,May,5/12/2010,13,9,b,fosu,1
Duke,May,5/12/2010,13,10,a,cape,10
Duke,May,5/12/2010,13,10,b,cape,2
Duke,May,5/12/2010,13,10,b,fosu,1
Duke,May,5/12/2010,13,10,b,tecu,1
Duke,May,5/12/2010,13,11,a,fosu,1
Duke,May,5/12/2010,13,11,b,cape,3
Duke,May,5/12/2010,13,11,b,fosu,1
Duke,May,5/12/2010,13,12,a,fosu,2
Duke,May,5/12/2010,13,12,b,prim,26
Duke,May,5/12/2010,13,13,a,apru,1
Duke,May,5/12/2010,13,13,a,prim,1
Duke,May,5/12/2010,13,13,b,none,0
Duke,May,5/12/2010,13,14,a,none,0
Duke,May,5/12/2010,13,14,b,none,0
Duke,May,5/12/2010,13,15,a,none,0
Duke,May,5/12/2010,13,15,b,none,0
Duke,May,5/12/2010,14,1,a,crli,16
Duke,May,5/12/2010,14,1,a,fosu,1
Duke,May,5/12/2010,14,1,b,crli,3
Duke,May,5/12/2010,14,2,a,prim,37
Duke,May,5/12/2010,14,2,b,fosu,9
Duke,May,5/12/2010,14,3,a,cape,12
Duke,May,5/12/2010,14,3,a,crli,1
Duke,May,5/12/2010,14,3,b,crli,7
Duke,May,5/12/2010,14,3,b,tecu,1
Duke,May,5/12/2010,14,4,a,crli,11
Duke,May,5/12/2010,14,4,b,crli,5
Duke,May,5/12/2010,14,5,a,crli,29
Duke,May,5/12/2010,14,5,b,prim,21
Duke,May,5/12/2010,14,6,a,apru,2
Duke,May,5/12/2010,14,6,a,prim,5
Duke,May,5/12/2010,14,6,b,cape,3
