species,sp
Aphaenogaster carolinensis,apca
Aphaenogaster fulva,apfu
Aphaenogaster lamellidens,apla
Aphaenogaster rudis,apru
Brachyponera chinensis,brch
Camponotus americanus,caam
Camponotus castaneus,caca
Camponotus pennsylvanicus,cape
Camponotus subbarbatus,casu
Crematogaster lineolata,crli
Formica pallidefulva,fopa
Formica subsericea,fosu
Lasius alienus,laal
Linepithema humile,lihu
Monomorium minimum,momi
Myrmecina americana,myam
Nylanderia faisonensis,nyfa
Pheidole sp.,phsp
Ponera pennsylvanica,pope
Prenolepis imparis,prim
Solenopsis molesta,somo
Stenamma impar,stim
Stenamma schmittii,stsc
Stigmatomma pallipes,stpa
Tapinoma sessile,tase
Temnothorax curvispinosus,tecu
Temnothorax longispinosus,telo
Tetramorium caespitum,teca
Aphaenogaster picea,appi
Camponotus nearcticus,cane
Lasius nearcticus,lane
Lasius neoniger,lane
Myrmica punctaventris,mypu
Stenamma sp.,stsp
