species,genus,specific_location,region,Lat,Lon,MAT,season,rate_temperature_change,caste,nest_site,microclim_habitat,substrate,habitat_coverage,Mean Ctmax,Mean Ctmin,Ctmax SD,Ctmin SD,Ctmax SE,Ctmin SE,CVmax,CVmin,Ctmax range,Ctmin range,Total range,Mean Range
Aphaenogaster carolinensis,Aphaenogaster,"Duke Forest, NC, USA",NC,36.007482,-79.040724,14.6,May,1 C / 1 min,worker,soil,ground,soil,forest_open,44.58,6.08,0.29495762407505416,0.130384048104053,0.13190905958272992,0.05830951894845296,0.006616366623487083,0.021444744753956066,0.7000000000000028,0.2999999999999998,39,38.5
Aphaenogaster fulva,Aphaenogaster,"Duke Forest, NC, USA",NC,36.007482,-79.040724,14.6,May,1 C / 1 min,worker,soil,ground,soil,forest_open,44.12,6.26,0.08366600265340875,0.2073644135332773,0.037416573867739944,0.09273618495495707,0.00189632825597028,0.03312530567624238,0.20000000000000284,0.5,38.2,37.86
Aphaenogaster lamellidens,Aphaenogaster,"Duke Forest, NC, USA",NC,36.007482,-79.040724,14.6,May,1 C / 1 min,worker,soil,ground,soil,forest_open,44.96,5.779999999999999,0.18165902124584954,0.22803508501982767,0.08124038404635962,0.10198039027185572,0.004040458657603415,0.03945243685464147,0.5,0.5,39.7,39.18
Aphaenogaster rudis,Aphaenogaster,"Duke Forest, NC, USA",NC,36.007482,-79.040724,14.6,May,1 C / 1 min,worker,soil,ground,soil,forest_open,45.7,5.459999999999999,0.12247448713915775,0.15165750888103086,0.05477225575051609,0.06782329983125261,0.0026799668958240206,0.027776100527661333,0.29999999999999716,0.39999999999999947,40.599999999999994,40.24
Brachyponera chinensis,Brachyponera,"Duke Forest, NC, USA",NC,36.007482,-79.040724,14.6,May,1 C / 1 min,worker,logs,ground,soil,forest_open,40.5,7.540000000000001,0.14142135623731153,0.11401754250991371,0.06324555320336848,0.050990195135927806,0.0034918853391928775,0.015121689988052214,0.4000000000000057,0.2999999999999998,33.300000000000004,32.96
Camponotus americanus,Camponotus,"Duke Forest, NC, USA",NC,36.007482,-79.040724,14.6,May,1 C / 1 min,worker,soil,ground,soil,forest_open,43.17999999999999,7.08,0.17888543819998234,0.13038404810405288,0.07999999999999963,0.05830951894845296,0.004142784580824048,0.0184158260033973,0.3999999999999986,0.2999999999999998,36.4,36.099999999999994
Camponotus castaneus,Camponotus,"Duke Forest, NC, USA",NC,36.007482,-79.040724,14.6,May,1 C / 1 min,worker,soil,ground,soil,forest_open,42.3,6.959999999999999,0.12247448713915775,0.11401754250991371,0.05477225575051609,0.050990195135927806,0.0028953779465521927,0.016381830820389902,0.29999999999999716,0.2999999999999998,35.6,35.339999999999996
Camponotus pennsylvannicus,Camponotus,"Duke Forest, NC, USA",NC,36.007482,-79.040724,14.6,May,1 C / 1 min,worker,soil,ground,soil,forest_open,43.36,6.760000000000001,0.21908902300206665,0.11401754250991399,0.09797958971132721,0.05099019513592793,0.005052791120896371,0.01686650037128905,0.5,0.3000000000000007,36.9,36.6
Camponotus subbarbatus,Camponotus,"Duke Forest, NC, USA",NC,36.007482,-79.040724,14.6,May,1 C / 1 min,worker,soil,ground,soil,forest_open,42,6.659999999999999,0.3674234614174761,0.18165902124584962,0.16431676725154956,0.08124038404635965,0.00874817765279705,0.02727612931619364,0.8999999999999986,0.40000000000000036,35.8,35.34
Crematogaster lineolata,Crematogaster,"Duke Forest, NC, USA",NC,36.007482,-79.040724,14.6,May,1 C / 1 min,worker,soil,ground,soil,forest_open,46,6.4799999999999995,0.14142135623731153,0.08366600265340726,0.06324555320336848,0.03741657386773928,0.0030743773095067723,0.01291142016256285,0.4000000000000057,0.1999999999999993,39.800000000000004,39.52
